country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
New Zealand,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oman,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pakistan,5,5,5,5,5,4,5,5,5,5,,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Panama,6,6,6,6,6,5,5,5,4,5,,4,3,3,3,5,5,6,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Peru,5,5,6,4,4,4,4,4,3,3,,3,3,3,3,3,3,4,4,5,5,5,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Philippines,6,5,5,5,5,5,5,5,5,4,,5,4,3,2,2,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
Palau,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Papua New Guinea,,,,2,2,2,2,2,2,2,,2,2,2,2,2,3,2,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Poland,6,6,6,6,6,5,5,5,4,5,,5,5,5,5,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
North Korea,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Portugal,6,6,3,3,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Paraguay,6,5,5,5,6,6,5,5,5,5,,5,5,5,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Qatar,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Romania,6,6,6,6,6,6,6,6,6,6,,6,7,7,7,7,7,7,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Russia,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6
Rwanda,6,6,5,5,5,5,6,6,6,6,,6,6,6,6,6,6,6,6,6,5,5,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,5,6,6,6,6,6,6,6,6,6
Saudi Arabia,6,6,6,6,6,6,6,6,6,6,,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7
Sudan,6,6,6,6,6,5,5,5,5,5,,5,6,6,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6
Senegal,6,6,5,4,4,3,3,4,4,4,,4,4,4,4,4,4,3,3,3,3,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3
Singapore,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Solomon Islands,,,,,,,2,2,2,2,,2,3,3,2,2,2,1,1,1,1,2,2,2,2,2,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
Sierra Leone,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,6,6,6,6,5,6,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
El Salvador,3,3,3,3,3,4,5,4,5,5,,5,5,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
San Marino,2,2,2,2,2,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Somalia,6,6,6,6,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,6,6,7,7,7,7,7,7,7
Sao Tome and Principe,,,,5,5,5,6,6,6,6,,7,7,7,7,7,7,5,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Suriname,,,,2,2,2,2,2,5,5,,6,6,6,6,4,2,3,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,2,2
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,4,3,3,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1
Slovenia,,,,,,,,,,,,,,,,,,,,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
Sweden,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eswatini,2,4,4,4,4,4,5,5,5,5,,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,6,6
Seychelles,,,,,2,3,5,6,6,6,,6,6,6,6,6,6,6,6,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
Syria,7,7,7,7,6,6,6,6,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7
Chad,7,7,7,6,6,6,6,6,6,6,,6,7,7,7,7,7,6,6,6,6,5,5,5,5,5,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Togo,5,5,6,6,6,6,6,7,6,6,,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Thailand,5,3,3,3,6,5,4,4,4,4,,4,4,4,3,3,3,3,3,4,4,5,5,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5
Tajikistan,,,,,,,,,,,,,,,,,,,,5,6,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7
Turkmenistan,,,,,,,,,,,,,,,,,,,,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3
Tonga,2,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
Trinidad and Tobago,3,2,2,2,2,2,2,2,2,2,,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tunisia,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3
Turkey,4,4,3,3,3,3,3,3,5,5,,5,5,5,4,4,4,3,4,4,4,4,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,4,4,4,4,5,6,6,6,6,6,6
Tuvalu,,,,,,,2,2,2,2,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Taiwan,5,5,5,5,5,4,5,5,5,5,,5,5,5,5,4,3,3,3,3,3,4,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
Tanzania,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,5,5,5,5,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5
Uganda,7,7,7,7,7,7,7,6,4,5,,5,5,4,4,4,5,4,5,6,5,5,5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,5,5,5,5
Ukraine,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,3,3,3,3,3,3,3,3,4,3,4,3,4
Uruguay,4,5,5,5,6,6,6,6,5,5,,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
USA,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Uzbekistan,,,,,,,,,,,,,,,,,,,,5,6,7,7,7,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6
St. Vincent and the Grenadines,,,,,,,,2,2,2,,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Venezuela,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6
Vietnam,6,6,6,7,7,7,7,7,7,6,,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6
Vanuatu,,,,,,,,,3,2,,4,4,4,4,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Samoa,2,2,2,2,2,2,2,2,3,3,,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Yemen,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,5,5,4,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6
South Africa,5,5,5,5,5,6,6,6,6,6,,6,6,6,6,6,6,5,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Zambia,5,5,4,5,5,5,5,5,6,6,,6,5,5,5,5,5,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Zimbabwe,5,5,5,5,5,5,5,4,4,5,,5,5,6,6,6,5,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5
